Company,City,Name,Date,Review
Дан,UFA,лиана лемешева,9 февраля,"Ужасное отношение. Охрану подбирают с помойки наверное. чего стоит эта дама. Вечно с перегаром ,  прокуренным видом и помятым лицом. Постоянно грубит, хамит а конкретно Корнеева С,  В помещении  умудряется курить."
Дан,UFA,Nelly,12 января 2019,ЧОП очень хорошо себя зарекомендовал в сфере охраны. Широкий ассортимент услуг и качественное исполнение.
Дан,UFA,Салават Файзуллин,8 апреля 2020,Всем рекомендую ООО ЧОП «ДАН» надёжная контора
Дан,UFA,Светлана К.,22 ноября 2018,"Хорошее предприятие ,порядочное и культурное руководство. Удачи в дальнейшей работе !"
Блиц,UFA,Наташа Куликова,18 января 2019,Я работала там но к сожалению только полгода коллектив очень хороший.отношение к работнику разное но мне эта компания нравится
Блиц,UFA,Назир Н.,12 октября 2019,Хорошое частное охранное предприятие
ЧОП Тень,UFA,Альберт,29 марта,"Организация имеет отличную репутацию
Основана в 90х и продолжает свою деятельность по сей день,. Рекомендую"
ЧОП Тень,UFA,энвер гилязов,26 марта,"Обращайтесь, всегда на связи!!!"
Центурион-Лонге,UFA,ирина г.,10 сентября,"Отвратительное, хамское отношение охраны и руководства. Как таким возрастным людям смогли выдать лицензию охранника? Эта женщина со стула встать не может как смогла получить удостоверение?"
Центурион-Лонге,UFA,Марат,19 апреля 2020,"Самое плохое место работы за всю мою жизнь. Условий для работы никаких нет. Не теряйте время зря, не ходите туда на работу. По заработной плате также обман."
Центурион-Лонге,UFA,Алик Тугиев,6 января 2020,загораживают поезд частенько. моют машины перед подьездом
Центурион-Лонге,UFA,SERGEI.SERGEI.ZA,14 января 2020,10 лет вывеске.моожет быть нормальным.
Частное охранное предприятие Дельта Сафити,UFA,Nikos Woods,18 июля 2019,отличный чоп
Частное охранное предприятие Дельта Сафити,UFA,Анонимный отзыв,27 августа 2013,"Могу сказать пару слов про охранную организацию ДЕЛЬТА, но к сожалению не очень лестных !! У моих совладельцев стоит данная охранка, так вот их охранники приезжают , но не как правило вызов ложный, видимо проблемы с их оборудованием. Но ни это главное!! Они перепрыгивают через забор и ломятся в чужой дом и так каждый раз в течении года . И объяснять бесполезно что это не их объект , они всё равно лезут. И вообще я слышала что после таких посещений у людей часто что-то пропадает. Вот пойду жаловаться на Ленина 200, говорят они боятся Полицию общественной безопасности . Так что люди подумайте а стоит ли ???"
Рн-Охрана-Уфа,UFA,Мухтар Голованов,11 июня,"Не советую как ЧОП! сотрудники компании заступают на посты сутки через двое, уставшие, из-за этого бдительность слабая! Жалуются на маленькую зарплату, хотя мы как (заказчик) платим нормально."
Рн-Охрана-Уфа,UFA,Константин,3 мая,"Из-за из автомобилей возле здания невозможно пройти, а для жильцов дома нет возможности припарковаться. Пусть офис переносят куда-нибудь в... Курасково хотя бы."
Рн-Охрана-Уфа,UFA,марат рахимов,14 октября 2020,Серьезная организация
Уфимский отряд Ведомственной охраны железнодорожного транспорта Российской Федерации филиал на Куйбышевской железной дороге,UFA,Алёна Вилистер,5 сентября 2019,"Удобный график, стабильная зарплата, хотя.  Невысокая. Разрешена подработка по доп.договору на тех же условиях"
Уфимский отряд Ведомственной охраны железнодорожного транспорта Российской Федерации филиал на Куйбышевской железной дороге,UFA,Ильдус Сахаутдинов,21 октября 2019,"Активная жизнь у них медали🥇, кубки🏆
 Дорого🛣️ туда только разбита."
Уфимский отряд Ведомственной охраны железнодорожного транспорта Российской Федерации филиал на Куйбышевской железной дороге,UFA,валера николаев,29 марта 2020,Они работают профессионально
Уфимский отряд Ведомственной охраны железнодорожного транспорта Российской Федерации филиал на Куйбышевской железной дороге,UFA,Олег О.,6 января 2020,Работа как работа)))У меня лучше!!!
Уфимский отряд Ведомственной охраны железнодорожного транспорта Российской Федерации филиал на Куйбышевской железной дороге,UFA,Вадим Б.,13 мая 2020,Очень маленькие ЗП.
Уфимский отряд Ведомственной охраны железнодорожного транспорта Российской Федерации филиал на Куйбышевской железной дороге,UFA,Тагир Г.,6 марта 2020,Там все в норме
Уфимский отряд Ведомственной охраны железнодорожного транспорта Российской Федерации филиал на Куйбышевской железной дороге,UFA,Павлов Вячеслав,20 октября 2019,Зарплата как у сторожа
АН-Секьюрити,UFA,Игорь Доброволец,16 июня,"Совет---уберите вы Жданова с ТРЦ Планета в Уфе. Из него старший объекта , как из говна снаряд. Истерик,грубиян. Охранник для него не человек. Лижет задницу админа ТРЦ и начальству АН. Все это за счёт охраны. Людей ЗАСТАВЛЯЕТ работать по 36 и 48 часов без сна. На реальные вопросы орет в ответ матом. Кто против+- на вылет. Итог--- каждую смену не хватает от трёх до ВОСЬМИ  человек на смене. Ночью остаётся от силы четверо на весь ТРЦ.  Охрана недееспособны на этом объекте. Патруля нет, На ПЦН зачастую один человек. Половина постов не перекрыта. При конкурентоспособной для Уфы за умудрился остаться практически без ЛС. Так держать!!!"
Альянс-Регион,UFA,Сергей Гюнтер,8 декабря 2019,"ЧОО ""Альянс-Регион"". За 3 месяца работы (выдержал кое-как) получил 16 тысяч. И то приходилось чуть ли не выпрашивать. Директор только поболтать любит, а на сотрудников ему откровенно пос.ать. Руководители подразделений иногда даже не знают, кто у них на постах стоит..."
Альянс-Регион,UFA,zakiiev52,25 марта 2020,Людей там за грязь счетают
Охрана сервис,UFA,Марсель Х.,13 февраля 2020,Самое лучшее охранное агентство в нашем городе.
Охрана сервис,UFA,Chegyrn,2 августа 2020,"Находится на задворках, подход очень неудобен."
Отдел Орджоникидзевского района г. Уфы Филиала ФГУП Охрана Росгвардии по РБ,UFA,Тамара С.,29 мая 2020,"С тех пор, как я связалсь с вами, я забыла про покой и безопасность. Во время моего отсутствия в квартиру залезали. Об этом свидетельствовали смазанные, выкрученные замки. На пульте меня заверяют, что все в порядке. Мне надоел этот прессинг.Найдите другие развлечения, только не за мой счет."
Отдел Орджоникидзевского района г. Уфы Филиала ФГУП Охрана Росгвардии по РБ,UFA,Руслан Кульбаев,18 апреля 2020,Отличные ребята. Оперативное реагирование
Гранит-плюс,UFA,Анна Т.,16 мая 2020,Удобная парковка.
Гранит-плюс,UFA,Blissargon Barju,11 августа 2019,"Все хорошо, спасибо большое"
Федеральное агентство мониторинга и охраны,UFA,Андрей С.,9 января 2020,"Отвратительное охранное агентство, пьяные охранники и очень борзый директор этой фирмы и его сотрудники, и поркуют свои машины возле офиса как попало что мешает проезду другим авто во дворы"
Авангард,UFA,Сюмка У.,27 марта,Брат работала 2   месяца через эту кампанию и деньги не получил он.  Хамство не грамотной рукаводитель. Не рекомендую 👎👎
